seq,name,n,cpu_ms,gpu_ms,kind
453,VK_PRECOMPUTED_POLY#453,43315,22.000,16.000,gpu-wins
454,VK_PRECOMPUTED_POLY#454,43315,32.000,17.000,gpu-wins
455,VK_PRECOMPUTED_POLY#455,43315,31.000,17.000,gpu-wins
456,VK_PRECOMPUTED_POLY#456,43315,39.000,19.000,gpu-wins
457,VK_PRECOMPUTED_POLY#457,43315,31.000,17.000,gpu-wins
458,VK_PRECOMPUTED_POLY#458,43315,22.000,15.000,gpu-wins
459,VK_PRECOMPUTED_POLY#459,0,0.000,0.000,cpu-wins
460,VK_PRECOMPUTED_POLY#460,0,1.000,0.000,gpu-wins
461,VK_PRECOMPUTED_POLY#461,17455,1.000,21.000,cpu-wins
462,VK_PRECOMPUTED_POLY#462,3007,1.000,14.000,cpu-wins
463,VK_PRECOMPUTED_POLY#463,0,0.000,0.000,cpu-wins
464,VK_PRECOMPUTED_POLY#464,0,0.000,0.000,cpu-wins
465,VK_PRECOMPUTED_POLY#465,0,0.000,0.000,cpu-wins
466,VK_PRECOMPUTED_POLY#466,8503,1.000,17.000,cpu-wins
467,VK_PRECOMPUTED_POLY#467,8503,1.000,9.000,cpu-wins
468,VK_PRECOMPUTED_POLY#468,12368,1.000,18.000,cpu-wins
469,VK_PRECOMPUTED_POLY#469,12368,1.000,10.000,cpu-wins
470,VK_PRECOMPUTED_POLY#470,12368,0.000,10.000,cpu-wins
471,VK_PRECOMPUTED_POLY#471,43314,16.000,36.000,cpu-wins
472,VK_PRECOMPUTED_POLY#472,43314,5.000,35.000,cpu-wins
473,VK_PRECOMPUTED_POLY#473,43314,7.000,29.000,cpu-wins
474,VK_PRECOMPUTED_POLY#474,43314,5.000,30.000,cpu-wins
475,VK_PRECOMPUTED_POLY#475,43314,6.000,29.000,cpu-wins
476,VK_PRECOMPUTED_POLY#476,43314,6.000,24.000,cpu-wins
477,VK_PRECOMPUTED_POLY#477,43314,5.000,33.000,cpu-wins
478,VK_PRECOMPUTED_POLY#478,43314,6.000,28.000,cpu-wins
479,VK_PRECOMPUTED_POLY#479,673,0.000,9.000,cpu-wins
480,VK_PRECOMPUTED_POLY#480,673,0.000,4.000,cpu-wins
481,VK_PRECOMPUTED_POLY#481,673,1.000,4.000,cpu-wins
482,VK_PRECOMPUTED_POLY#482,673,0.000,5.000,cpu-wins
483,VK_PRECOMPUTED_POLY#483,1,0.000,13.000,cpu-wins
484,VK_PRECOMPUTED_POLY#484,1,0.000,9.000,cpu-wins
485,VK_PRECOMPUTED_POLY#485,673,0.000,6.000,cpu-wins
486,VK_PRECOMPUTED_POLY#486,1285,0.000,13.000,cpu-wins
487,?#487,16,0.000,0.000,gpu-missing
488,?#488,118,1.000,0.000,gpu-missing
489,?#489,16,0.000,0.000,gpu-missing
490,?#490,118,1.000,0.000,gpu-missing
